w,y,chain,latitude,longitude
12570,44345,Loran9960,43.58,67.97167
12580,44345,Loran9960,43.57167,67.99667
12590,44345,Loran9960,43.56333,68.02
12600,44345,Loran9960,43.55333,68.04333
12610,44345,Loran9960,43.545,68.06833
12620,44345,Loran9960,43.53667,68.09167
12630,44345,Loran9960,43.52833,68.115
12640,44345,Loran9960,43.52,68.13833
12650,44345,Loran9960,43.51167,68.16333
12660,44345,Loran9960,43.50333,68.18667
12670,44345,Loran9960,43.495,68.21
12680,44345,Loran9960,43.48667,68.23333
12690,44345,Loran9960,43.47833,68.25667
12700,44345,Loran9960,43.47,68.28
12710,44345,Loran9960,43.46167,68.30333
12720,44345,Loran9960,43.45333,68.32667
12730,44345,Loran9960,43.445,68.33333
12740,44345,Loran9960,43.43667,68.37167
12750,44345,Loran9960,43.42833,68.395
12760,44345,Loran9960,43.42,68.41833
12770,44345,Loran9960,43.41333,68.44167
12780,44345,Loran9960,43.405,68.46333
12790,44345,Loran9960,43.39667,68.48667
12800,44345,Loran9960,43.38833,68.51
12810,44345,Loran9960,43.38,68.53167
12820,44345,Loran9960,43.37167,68.555
12830,44345,Loran9960,43.36333,68.57667
12840,44345,Loran9960,43.35667,68.58333
12850,44345,Loran9960,43.34833,68.62167
12860,44345,Loran9960,43.34,68.645
12870,44345,Loran9960,43.33167,68.66667
12880,44345,Loran9960,43.325,68.69
12890,44345,Loran9960,43.3,68.71167
12900,44345,Loran9960,43.30833,68.73333
12910,44345,Loran9960,43.3,68.75667
12920,44345,Loran9960,43.29333,68.77833
12930,44345,Loran9960,43.285,68.8
12940,44345,Loran9960,43.27667,68.82167
12950,44345,Loran9960,43.26833,68.845
12960,44345,Loran9960,43.26167,68.85
12970,44345,Loran9960,43.25333,68.88833
12980,44345,Loran9960,43.245,68.91
12990,44345,Loran9960,43.23667,68.93167
13000,44345,Loran9960,43.23,68.95333
13010,44345,Loran9960,43.22167,68.975
13020,44345,Loran9960,43.21333,68.99667
13030,44345,Loran9960,43.20667,69.01833
13040,44345,Loran9960,43.19833,69.04
13050,44345,Loran9960,43.19167,69.06167
13060,44345,Loran9960,43.18333,69.08333
13070,44345,Loran9960,43.175,69.105
13080,44345,Loran9960,43.16833,69.12667
13090,44345,Loran9960,43.16,69.14833
13100,44345,Loran9960,43.15167,69.17
13110,44345,Loran9960,43.145,69.19167
13120,44345,Loran9960,43.13667,69.21333
13130,44345,Loran9960,43.13,69.235
13140,44345,Loran9960,43.12167,69.255
13150,44345,Loran9960,43.115,69.27667
13160,44345,Loran9960,43.10667,69.298330000000007
13170,44345,Loran9960,43.09833,69.31833
13180,44345,Loran9960,43.09167,69.34
13190,44345,Loran9960,43.085,69.36167
13200,44345,Loran9960,43.07667,69.36667
13210,44345,Loran9960,43.06833,69.40333
13220,44345,Loran9960,43.06167,69.425
13230,44345,Loran9960,43.05333,69.44667
13240,44345,Loran9960,43.04667,69.46667
13250,44345,Loran9960,43.03833,69.48833
13260,44345,Loran9960,43.03167,69.51
