w,x,chain,latitude,longitude
13520,25020,Loran9960,41.285,-68.605
13530,25020,Loran9960,41.28833,-68.64333
13540,25020,Loran9960,41.29167,-68.68
13550,25020,Loran9960,41.295,-68.71667
13560,25020,Loran9960,41.29833,-68.75333
13570,25020,Loran9960,41.30167,-68.79
13580,25020,Loran9960,41.305,-68.82667
13590,25020,Loran9960,41.30833,-68.86167
13600,25020,Loran9960,41.31167,-68.89667
13610,25020,Loran9960,41.31333,-68.91667
13620,25020,Loran9960,41.31667,-68.96833
13630,25020,Loran9960,41.31833,-69.00333
13640,25020,Loran9960,41.32167,-69.03833
13650,25020,Loran9960,41.325,-69.07333
13660,25020,Loran9960,41.32667,-69.10667
13670,25020,Loran9960,41.32833,-69.14167
13680,25020,Loran9960,41.33,-69.175
13690,25020,Loran9960,41.31667,-69.20833
13700,25020,Loran9960,41.335,-69.24167
13710,25020,Loran9960,41.33667,-69.275
13720,25020,Loran9960,41.33833,-69.30833
13730,25020,Loran9960,41.34,-69.34167
13740,25020,Loran9960,41.34167,-69.37333
13750,25020,Loran9960,41.34167,-69.40667
13760,25020,Loran9960,41.34333,-69.43833
13770,25020,Loran9960,41.34333,-69.47
13780,25020,Loran9960,41.345,-69.50167
13790,25020,Loran9960,41.345,-69.51667
13800,25020,Loran9960,41.345,-69.56333
13810,25020,Loran9960,41.345,-69.595
13820,25020,Loran9960,41.345,-69.625
13830,25020,Loran9960,41.34333,-69.655
13840,25020,Loran9960,41.34333,-69.685
13850,25020,Loran9960,41.34167,-69.715
13860,25020,Loran9960,41.34,-69.74333
13870,25020,Loran9960,41.33833,-69.77333
13880,25020,Loran9960,41.335,-69.80167
13890,25020,Loran9960,41.31667,-69.82833
13900,25020,Loran9960,41.33,-69.85667
13910,25020,Loran9960,41.325,-69.86667
13920,25020,Loran9960,41.31833,-69.90833
13930,25020,Loran9960,41.31333,-69.93333
13940,25020,Loran9960,41.305,-69.95833
13950,25020,Loran9960,41.29333,-69.98
13960,25020,Loran9960,41.28,-69.99833
13970,25020,Loran9960,41.25833,-70.01333
13980,25020,Loran9960,41.19667,-69.99833
13990,25020,Loran9960,41.20667,-70.035
14000,25020,Loran9960,41.21667,-70.07333
11800,25030,Loran9960,32.25167,-36.05333
11810,25030,Loran9960,32.90667,-37.47
11820,25030,Loran9960,33.49167,-38.785
11830,25030,Loran9960,34.015,-40.00833
11840,25030,Loran9960,34.48667,-41.14667
11850,25030,Loran9960,34.91167,-42.20667
11860,25030,Loran9960,35.29667,-43.19833
11870,25030,Loran9960,35.64667,-44.12667
11880,25030,Loran9960,35.965,-44.99833
11890,25030,Loran9960,36.25667,-45.815
11900,25030,Loran9960,36.525,-46.585
11910,25030,Loran9960,36.77,-47.31
11920,25030,Loran9960,36.99667,-47.995
11930,25030,Loran9960,37.205,-48.64167
11940,25030,Loran9960,37.39833,-49.255
11950,25030,Loran9960,37.57833,-49.835
11960,25030,Loran9960,37.745,-50.38667
11970,25030,Loran9960,37.88333,-50.91167
11980,25030,Loran9960,38.045,-51.41
11990,25030,Loran9960,38.18,-51.885
